"2010-04-19","BUY","2010-04-07","BOLLINGER"
"2010-04-20","BUY","2010-03-19","BOLLINGER"
"2010-04-20","BUY","2010-03-29","BOLLINGER"
"2010-04-20","BUY","2010-04-07","BOLLINGER"
"2010-04-21","BUY","2010-03-19","BOLLINGER"
"2010-04-21","BUY","2010-03-29","BOLLINGER"
"2010-04-21","BUY","2010-04-07","BOLLINGER"
"2010-04-21","SELL","2010-04-19","BOLLINGER"
"2010-04-22","BUY","2010-03-19","BOLLINGER"
"2010-04-22","BUY","2010-03-29","BOLLINGER"
"2010-04-22","BUY","2010-04-07","BOLLINGER"
"2010-04-22","SELL","2010-04-19","BOLLINGER"
"2010-04-23","BUY","2010-03-29","BOLLINGER"
"2010-04-23","BUY","2010-04-07","BOLLINGER"
"2010-04-23","SELL","2010-04-19","BOLLINGER"
"2010-04-26","BUY","2010-03-29","BOLLINGER"
"2010-04-26","BUY","2010-04-07","BOLLINGER"
"2010-04-26","SELL","2010-04-19","BOLLINGER"
"2010-04-27","BUY","2010-03-29","BOLLINGER"
"2010-04-27","BUY","2010-04-07","BOLLINGER"
"2010-04-27","SELL","2010-04-19","BOLLINGER"
"2010-04-28","BUY","2010-03-29","BOLLINGER"
"2010-04-28","BUY","2010-04-07","BOLLINGER"
"2010-04-28","SELL","2010-04-19","BOLLINGER"
"2010-04-29","BUY","2010-04-07","BOLLINGER"
"2010-04-29","SELL","2010-04-19","BOLLINGER"
"2010-04-30","BUY","2010-04-07","BOLLINGER"
"2010-04-30","SELL","2010-04-19","BOLLINGER"
"2010-05-03","BUY","2010-04-07","BOLLINGER"
"2010-05-03","SELL","2010-04-19","BOLLINGER"
"2010-05-04","BUY","2010-04-07","BOLLINGER"
"2010-05-04","SELL","2010-04-19","BOLLINGER"
"2010-05-05","BUY","2010-04-07","BOLLINGER"
"2010-05-05","SELL","2010-04-19","BOLLINGER"
"2010-05-06","SELL","2010-04-19","BOLLINGER"
"2010-05-07","SELL","2010-04-19","BOLLINGER"
"2010-05-10","SELL","2010-04-19","BOLLINGER"
"2010-05-11","SELL","2010-04-19","BOLLINGER"
"2010-05-11","SELL","2010-05-07","BOLLINGER"
"2010-05-11","SELL","2010-05-07","BOLLINGER"
"2010-05-12","SELL","2010-04-19","BOLLINGER"
"2010-05-12","SELL","2010-05-07","BOLLINGER"
"2010-05-12","SELL","2010-05-07","BOLLINGER"
"2010-05-13","SELL","2010-04-19","BOLLINGER"
"2010-05-13","SELL","2010-05-07","BOLLINGER"
"2010-05-13","SELL","2010-05-07","BOLLINGER"
"2010-05-14","SELL","2010-04-19","BOLLINGER"
"2010-05-14","SELL","2010-05-07","BOLLINGER"
"2010-05-14","SELL","2010-05-07","BOLLINGER"
"2010-05-17","SELL","2010-04-19","BOLLINGER"
"2010-05-17","SELL","2010-05-07","BOLLINGER"
"2010-05-17","SELL","2010-05-07","BOLLINGER"
"2010-05-18","SELL","2010-04-19","BOLLINGER"
"2010-05-18","SELL","2010-05-07","BOLLINGER"
"2010-05-18","SELL","2010-05-07","BOLLINGER"
"2010-05-19","SELL","2010-04-19","BOLLINGER"
"2010-05-19","SELL","2010-05-07","BOLLINGER"
"2010-05-19","SELL","2010-05-07","BOLLINGER"
"2010-05-19","SELL","2010-05-17","BOLLINGER"
"2010-05-20","SELL","2010-05-07","BOLLINGER"
"2010-05-20","SELL","2010-05-07","BOLLINGER"
"2010-05-20","SELL","2010-05-17","BOLLINGER"
"2010-05-21","SELL","2010-05-07","BOLLINGER"
"2010-05-21","SELL","2010-05-07","BOLLINGER"
"2010-05-21","SELL","2010-05-19","BOLLINGER"
"2010-05-21","SELL","2010-05-17","BOLLINGER"
"2010-05-21","SELL","2010-05-19","BOLLINGER"
"2010-05-24","SELL","2010-05-07","BOLLINGER"
"2010-05-24","SELL","2010-05-19","BOLLINGER"
"2010-05-24","SELL","2010-05-17","BOLLINGER"
"2010-05-24","SELL","2010-05-19","BOLLINGER"
"2010-05-25","SELL","2010-05-07","BOLLINGER"
"2010-05-25","SELL","2010-05-19","BOLLINGER"
"2010-05-25","SELL","2010-05-17","BOLLINGER"
"2010-05-25","SELL","2010-05-19","BOLLINGER"
"2010-05-25","SELL","2010-05-21","BOLLINGER"
"2010-05-26","SELL","2010-05-07","BOLLINGER"
"2010-05-26","SELL","2010-05-19","BOLLINGER"
"2010-05-26","SELL","2010-05-17","BOLLINGER"
