"2010-08-19","SELL","5534","SMA-20"
"2010-08-20","SELL","5519.5","SMA-20"
"2010-08-23","SELL","5530.5","SMA-20"
"2010-08-24","SELL","5507.75","SMA-20"
"2010-08-25","SELL","5467.75","SMA-20"
"2010-08-26","SELL","5473","SMA-20"
"2010-08-27","SELL","5415.75","SMA-20"
"2010-08-30","SELL","5424.75","SMA-20"
"2010-08-31","BUY","5401.5","SMA-20"
"2010-09-01","BUY","5473","SMA-20"
"2010-09-02","SELL","5485.5","SMA-20"
"2010-09-03","SELL","5486.75","SMA-20"
"2010-09-06","SELL","5571.75","SMA-20"
"2010-09-07","SELL","5585.25","SMA-20"
"2010-09-08","SELL","5594.75","SMA-20"
"2010-09-09","SELL","5628.75","SMA-20"
"2010-09-13","SELL","5758.5","SMA-20"
"2010-09-14","SELL","5814.5","SMA-20"
"2010-09-15","SELL","5852.25","SMA-20"
"2010-09-16","SELL","5842.75","SMA-20"
"2010-09-17","SELL","5908.5","SMA-20"
"2010-09-20","SELL","5994.75","SMA-20"
"2010-09-21","SELL","6007.5","SMA-20"
"2010-09-22","SELL","5997.5","SMA-20"
"2010-09-23","SELL","5957","SMA-20"
"2010-09-24","SELL","6025","SMA-20"
"2010-09-27","SELL","6061.75","SMA-20"
"2010-09-28","SELL","6071.75","SMA-20"
"2010-09-29","SELL","6018.75","SMA-20"
"2010-09-30","SELL","6018.5","SMA-20"
"2010-10-01","SELL","6180","SMA-20"
"2010-10-04","SELL","6178","SMA-20"
"2010-10-05","SELL","6173.5","SMA-20"
"2010-10-06","SELL","6214","SMA-20"
"2010-10-07","SELL","6142.5","SMA-20"
"2010-10-08","SELL","6136.25","SMA-20"
"2010-10-11","SELL","6151.5","SMA-20"
"2010-10-12","SELL","6109.5","SMA-20"
"2010-10-13","SELL","6273.25","SMA-20"
"2010-10-14","SELL","6189.25","SMA-20"
"2010-10-15","SELL","6081.25","SMA-20"
"2010-10-18","SELL","6133.5","SMA-20"
"2010-10-19","SELL","6014.75","SMA-20"
"2010-10-20","SELL","6007","SMA-20"
"2010-10-21","SELL","6122.75","SMA-20"
"2010-10-22","SELL","6086","SMA-20"
"2010-10-25","SELL","6131.75","SMA-20"
"2010-10-26","SELL","6129.75","SMA-20"
"2010-10-27","SELL","6062.75","SMA-20"
"2010-10-28","SELL","6062.75","SMA-20"
"2010-10-29","SELL","6032.25","SMA-20"
"2010-11-01","BUY","6151.75","SMA-20"
"2010-11-02","BUY","6149","SMA-20"
"2010-11-03","BUY","6205","SMA-20"
"2010-11-04","BUY","6314.5","SMA-20"
"2010-11-05","SELL","6325.05","SMA-20"
"2010-11-08","SELL","6299.25","SMA-20"
